Name,Location
Kings Cross,"-33.87439504149759, 151.22254378721576"
Martin Place,"-33.86812988958452, 151.21167026122666"
Erskineville,"-33.89994513529435, 151.1856027380996"
St Peters,"-33.90738045004097, 151.1803232907522"
Sydenham,"-33.9146462177433, 151.1660313581001"
Marrickville,"-33.91362315114232, 151.15318595974287"
Dulwich Hill,"-33.9109433877177, 151.141319790257"
Hurlstone Park,"-33.91031969889618, 151.1326078708523"
Canterbury,"-33.91174986133984, 151.11870490719576"
Campsie,"-33.9102308330109, 151.10360689668403"
Belmore,"-33.91731422186011, 151.0887661279762"
Lakemba,"-33.92022989671872, 151.07593461171248"
Wiley Park,"-33.922802412187636, 151.06818904322694"
Punchbowl,"-33.925532292764146, 151.05557054527156"
Bankstown,"-33.91773969776826, 151.0346659284177"
Cabramatta,"-33.89471305177015, 150.93928552649135"
Carramar,"-33.884472583639976, 150.9614855631568"
Villawood,"-33.881124070265024, 150.97602998288454"
Leightonfield,"-33.8816750162578, 150.98524057051918"
Chester Hill,"-33.883762853525795, 150.99986641742126"
Sefton,"-33.885441168823675, 151.01136858033325"
Regents Park,"-33.88308156370094, 151.02442562610412"
Berala,"-33.871938397388895, 151.0326477276576"
Birrong,"-33.89330972728165, 151.02419945021384"
Yagoona,"-33.90689441015184, 151.02461301052014"
Tempe,"-33.92377062227249, 151.15663588356122"
Wolli Creek,"-33.92836912317192, 151.15349066164663"
Turrella,"-33.92970064746019, 151.1401818059347"
Bardwell Park,"-33.93142598100953, 151.1249853013555"
Bexley North,"-33.93737393768401, 151.11353223932093"
Kingsgrove,"-33.940440195129895, 151.10047072692342"
Beverly Hills,"-33.9488256157126, 151.08116276322747"
Narwee,"-33.94743426218551, 151.07037838973923"
Riverwood,"-33.95124213013919, 151.05243540678197"
Padstow,"-33.95175513950131, 151.0324428406625"
Revesby,"-33.95230395858278, 151.01491866920873"
Panania,"-33.95416289782418, 150.99820502254434"
East Hills,"-33.96183544756428, 150.98476790560724"
Holsworthy,"-33.96325846886507, 150.95667496141957"
Glenfield,"-33.97233224125516, 150.89325416579675"
Macquarie Fields,"-33.984792230414406, 150.87943143175616"
Ingleburn,"-33.997779474483536, 150.86454556123863"
Minto,"-34.02733956843438, 150.8426276308612"
Leumeah,"-34.050619090706, 150.8304436384795"
Campbelltown,"-34.06408998196798, 150.81433840389832"
Macarthur,"-34.071752988822716, 150.79718071327378"
Leppington,"-33.95457522283649, 150.80801405726908"
Edmondson Park,"-33.969129360404196, 150.85860447556655"
Casula,"-33.94996476681788, 150.91224325439842"
Liverpool,"-33.92441943788642, 150.92752686379757"
Warwick Farm,"-33.91304965068138, 150.9353773924965"
Canley Vale,"-33.88723057326514, 150.9437868837462"
Fairfield,"-33.87248029315455, 150.9569269257351"
Yennora,"-33.86482772766398, 150.9709466263343"
Guildford,"-33.854192425478615, 150.98460933472938"
Merrylands,"-33.83654978085011, 150.99277761852616"
Mascot,"-33.9061503821023, 151.20260299809732"
Green Square,"-33.923158591176986, 151.1874195365624"
Domestic,"-33.93348309318093, 151.18109630453193"
International,"-33.9351342417784, 151.16679665408324"
Arncliffe,"-33.936257974954614, 151.1474664273147"
Banksia,"-33.94527222419022, 151.14062456634431"
Rockdale,"-33.95209099162781, 151.1367877563197"
Kogarah,"-33.962564167453024, 151.13246516154817"
Carlton,"-33.96820331053866, 151.12422499722862"
Allawah,"-33.96951303098739, 151.11456263789506"
Hurstville,"-33.96748835656106, 151.10244881908793"
Penshurst,"-33.9660601446999, 151.0893307762238"
Mortdale,"-33.97045767593273, 151.0812677960963"
Oatley,"-33.98062016403029, 151.07909408437015"
Como,"-34.00413677923535, 151.06793904856852"
Jannali,"-34.015797346365865, 151.06459457369556"
Sutherland,"-34.03148179795843, 151.05749184266477"
Cronulla,"-34.05566769805897, 151.15147363091123"
Woolooware,"-34.047654077402754, 151.14404544147098"
Caringbah,"-34.0415030952828, 151.12260705323786"
Miranda,"-34.036303583601295, 151.10267671108022"
Gymea,"-34.034871574785534, 151.0855638174771"
Kirrawee,"-34.03496058116302, 151.0717018177707"
Waterfall,"-34.13449333126558, 150.99457837739095"
Heathcote,"-34.088039455552526, 151.00825357047015"
Engadine,"-34.067572780340726, 151.01486453766947"
Loftus,"-34.04506781405283, 151.05133104346"
Olympic Park,"-33.846300832273016, 151.0695022804459"
